iter	Passed	Remaining
0	1	1003
1	1	903
2	2	900
3	3	878
4	6	1202
5	6	1157
6	7	1114
7	8	1080
8	9	1051
9	10	1025
10	11	1003
11	12	990
12	12	977
13	13	966
14	14	954
15	15	944
16	16	938
17	17	932
18	18	959
19	21	1031
20	22	1026
21	22	1019
22	23	1007
23	24	996
24	25	988
25	26	980
26	26	970
27	27	963
28	28	954
29	29	949
30	30	941
31	30	935
32	31	936
33	32	934
34	33	933
35	36	974
36	37	978
37	38	979
38	41	1017
39	42	1016
40	43	1009
41	44	1005
42	44	999
43	45	996
44	46	991
45	47	986
46	48	980
47	53	1052
48	54	1049
49	55	1046
50	55	1040
51	56	1036
52	57	1030
53	58	1025
54	59	1018
55	60	1012
56	60	1007
57	61	1002
58	62	997
59	63	992
60	64	988
61	65	987
62	66	988
63	67	984
64	68	978
65	68	973
66	69	967
67	70	962
68	70	957
69	71	953
70	72	949
71	73	945
72	73	939
73	74	934
74	75	928
75	75	923
76	76	918
77	77	916
78	78	913
79	79	911
80	80	907
81	80	905
82	81	897
83	82	899
84	83	898
85	84	899
86	85	898
87	86	895
88	87	891
89	87	888
90	88	885
91	89	883
92	90	881
93	91	879
94	92	876
95	92	873
96	93	869
97	94	865
98	94	862
99	95	863
100	97	868
101	99	876
102	100	875
103	101	873
104	102	870
105	102	868
106	103	865
107	104	862
108	105	858
109	105	856
110	106	853
111	107	850
112	108	847
113	108	845
114	109	842
115	110	841
116	111	841
117	112	841
118	113	843
119	114	842
120	115	840
121	116	836
122	116	833
123	117	831
124	118	828
125	119	826
126	119	822
127	120	820
128	121	818
129	121	815
130	122	812
131	123	810
132	123	807
133	124	804
134	127	815
135	128	817
136	129	815
137	130	814
138	131	811
139	131	809
140	132	808
141	133	804
142	133	802
143	134	800
144	135	797
145	136	795
146	136	794
147	137	791
148	138	789
149	138	786
150	139	784
151	141	791
152	142	791
153	143	790
154	144	788
155	145	788
156	146	786
157	147	784
158	147	782
159	148	779
160	148	776
161	149	773
162	150	771
163	150	769
164	151	766
165	152	764
166	152	762
167	153	759
168	154	757
169	154	755
170	155	755
171	156	754
172	157	753
173	158	752
174	159	750
175	159	748
176	160	746
177	161	744
178	161	742
179	162	740
180	163	738
181	163	736
182	164	734
183	165	732
184	165	731
185	166	729
186	167	727
187	168	725
188	168	724
189	169	722
190	170	720
191	171	721
192	172	720
193	173	720
194	174	718
195	174	717
196	175	715
197	176	714
198	176	712
199	177	710
200	178	708
201	178	706
202	179	705
203	180	703
204	180	701
205	181	700
206	182	698
207	182	696
208	183	695
209	184	693
210	185	692
211	185	691
212	187	691
213	187	690
214	188	689
215	189	688
216	190	687
217	191	685
218	191	683
219	192	682
220	193	680
221	193	679
222	194	677
223	195	676
224	195	674
225	196	672
226	197	671
227	197	669
228	198	668
229	199	667
230	200	665
231	201	665
232	202	665
233	203	665
234	204	664
235	204	663
236	205	661
237	206	660
238	206	658
239	207	657
240	208	655
241	208	654
242	209	652
243	210	651
244	210	650
245	211	648
246	212	647
247	213	646
248	213	645
249	214	643
250	215	642
251	216	643
252	217	642
253	218	641
254	219	640
255	219	639
256	220	638
257	221	636
258	222	635
259	222	633
260	223	632
261	224	631
262	224	629
263	225	628
264	226	627
265	226	625
266	227	624
267	228	623
268	229	622
269	229	621
270	230	620
271	231	620
272	232	619
273	233	618
274	234	618
275	235	617
276	236	616
277	236	615
278	237	614
279	238	612
280	238	611
281	239	610
282	240	608
283	240	607
284	241	606
285	242	604
286	242	603
287	243	602
288	244	601
289	245	599
290	245	598
291	247	599
292	248	598
293	248	597
294	249	596
295	250	595
296	250	594
297	251	592
298	252	591
299	252	590
300	253	588
301	254	587
302	254	586
303	255	585
304	256	584
305	257	583
306	257	582
307	258	581
308	259	580
309	260	578
310	261	579
311	262	579
312	263	579
313	264	578
314	265	577
315	266	576
316	266	574
317	267	573
318	268	572
319	268	571
320	269	570
321	270	568
322	270	567
323	271	567
324	272	566
325	273	564
326	273	563
327	274	562
328	275	561
329	276	560
330	277	561
331	278	561
332	279	560
333	280	559
334	281	557
335	281	556
336	282	555
337	282	554
338	283	553
339	284	551
340	284	550
341	285	549
342	286	548
343	287	547
344	287	546
345	288	545
346	289	544
347	289	542
348	290	541
349	292	542
350	293	542
351	294	541
352	294	540
353	295	539
354	296	538
355	297	537
356	297	536
357	298	535
358	299	533
359	299	532
360	300	531
361	301	530
362	301	529
363	302	528
364	303	527
365	304	526
366	304	525
367	306	526
368	307	526
369	308	525
370	309	524
371	309	523
372	310	522
373	311	520
374	311	519
375	312	518
376	313	517
377	313	516
378	314	515
379	315	514
380	316	513
381	316	512
382	317	511
383	318	510
384	318	509
385	319	508
386	320	507
387	322	508
388	323	507
389	323	506
390	324	505
391	325	504
392	326	503
393	326	502
394	327	501
395	327	500
396	328	499
397	329	498
398	330	497
399	331	496
400	331	495
401	332	495
402	333	494
403	334	493
404	334	492
405	335	491
406	337	492
407	338	491
408	339	490
409	340	489
410	341	488
411	341	487
412	342	486
413	343	485
414	343	484
415	344	483
416	345	482
417	346	482
418	346	481
419	347	480
420	348	479
421	349	478
422	349	477
423	350	475
424	351	475
425	352	474
426	352	473
427	353	472
428	354	471
429	355	470
430	355	469
431	356	468
432	357	467
433	357	466
434	358	465
435	359	464
436	360	464
437	360	463
438	361	462
439	362	461
440	363	460
441	363	459
442	364	458
443	365	457
444	365	456
445	367	456
446	368	455
447	369	455
448	370	454
449	371	453
450	372	453
451	373	452
452	373	451
453	374	450
454	375	449
455	375	448
456	376	447
457	377	446
458	377	445
459	378	444
460	379	443
461	379	442
462	380	441
463	382	442
464	383	441
465	384	440
466	385	440
467	386	439
468	387	438
469	388	437
470	389	437
471	389	436
472	390	435
473	391	434
474	391	433
475	392	431
476	393	430
477	393	429
478	394	428
479	395	427
480	395	426
481	396	425
482	397	425
483	398	424
484	399	424
485	400	423
486	401	423
487	402	422
488	403	421
489	403	420
490	404	419
491	405	418
492	405	417
493	406	416
494	407	415
495	407	414
496	408	413
497	409	412
498	409	411
499	410	410
500	411	409
501	413	410
502	414	409
503	415	408
504	416	407
505	416	407
506	417	406
507	418	405
508	419	404
509	419	403
510	420	402
511	421	401
512	421	400
513	422	399
514	423	398
515	423	397
516	424	396
517	425	395
518	425	394
519	426	393
520	427	393
521	428	392
522	429	391
523	430	390
524	430	389
525	431	388
526	432	387
527	433	387
528	433	386
529	434	385
530	435	384
531	435	383
532	436	382
533	437	381
534	437	380
535	438	379
536	439	378
537	439	377
538	440	376
539	441	376
540	442	375
541	443	374
542	444	373
543	445	373
544	445	372
545	446	371
546	446	370
547	447	369
548	448	368
549	448	367
550	449	366
551	450	365
552	451	364
553	451	363
554	452	362
555	453	361
556	453	360
557	454	360
558	455	359
559	455	358
560	456	357
561	458	357
562	458	356
563	459	355
564	460	354
565	461	353
566	462	352
567	462	352
568	463	351
569	464	350
570	464	349
571	465	348
572	466	347
573	466	346
574	467	345
575	468	344
576	468	343
577	469	342
578	470	341
579	470	341
580	471	340
581	472	339
582	473	338
583	474	338
584	475	337
585	475	336
586	476	335
587	477	334
588	477	333
589	478	332
590	479	331
591	480	330
592	480	330
593	481	329
594	482	328
595	482	327
596	483	326
597	484	325
598	484	324
599	485	323
600	486	322
601	487	321
602	488	321
603	489	320
604	490	319
605	490	319
606	491	318
607	491	317
608	492	316
609	493	315
610	494	314
611	494	313
612	495	312
613	496	311
